,State,County,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating
152,CO,EL PASO,2,2,3.0
153,CO,FREMONT,1,1,3.0
154,CO,GARFIELD,2,1,4.0
155,CO,JEFFERSON,3,2,3.5
156,CO,LA PLATA,2,1,5.0
157,CO,LARIMER,5,3,4.333333333333333
158,CO,LOGAN,1,1,4.0
159,CO,MESA,3,2,3.5
160,CO,MONTROSE,1,1,4.0
161,CO,MORGAN,2,1,4.0
162,CO,PUEBLO,2,2,3.5
163,CO,ROUTT,1,1,4.0
164,CO,SUMMIT,1,1,4.0
165,CO,WELD,1,1,4.0
166,CT,FAIRFIELD,6,6,2.3333333333333335
167,CT,HARTFORD,8,6,2.6666666666666665
168,CT,LITCHFIELD,2,2,2.5
169,CT,MIDDLESEX,1,1,4.0
170,CT,NEW HAVEN,8,7,2.5714285714285716
171,CT,NEW LONDON,2,2,4.0
172,CT,TOLLAND,2,2,4.0
173,CT,WINDHAM,2,2,4.0
174,DC,DISTRICT OF COLUMBIA,8,7,1.7142857142857142
175,DE,KENT,1,1,3.0
176,DE,NEW CASTLE,3,2,4.5
177,DE,SUSSEX,3,3,3.6666666666666665
178,FL,ALACHUA,2,2,2.5
179,FL,BAY,2,2,3.0
180,FL,BREVARD,7,7,3.142857142857143
181,FL,BROWARD,14,14,2.5714285714285716
182,FL,CHARLOTTE,3,3,1.0
183,FL,CITRUS,2,2,1.0
184,FL,CLAY,2,2,3.0
185,FL,COLLIER,2,2,3.5
186,FL,COLUMBIA,2,2,3.5
187,FL,DE SOTO,1,1,3.0
188,FL,DUVAL,7,7,2.7142857142857144
189,FL,ESCAMBIA,3,3,3.6666666666666665
190,FL,FLAGLER,1,1,2.0
191,FL,GULF,1,1,4.0
192,FL,HERNANDO,2,2,2.0
193,FL,HIGHLANDS,2,2,2.5
194,FL,HILLSBOROUGH,10,9,2.3333333333333335
195,FL,INDIAN RIVER,2,2,2.0
196,FL,JACKSON,1,1,2.0
197,FL,LAKE,3,3,2.6666666666666665
198,FL,LEE,4,4,1.75
199,FL,LEON,2,2,3.0
200,FL,MANATEE,3,3,1.6666666666666667
201,FL,MARION,2,2,1.5
202,FL,MARTIN,1,1,2.0
203,FL,MIAMI-DADE,21,17,2.1176470588235294
204,FL,MONROE,3,1,2.0
205,FL,NASSAU,1,1,4.0
206,FL,OKALOOSA,3,3,3.6666666666666665
207,FL,OKEECHOBEE,1,1,2.0
208,FL,ORANGE,4,3,3.0
209,FL,OSCEOLA,3,3,2.3333333333333335
210,FL,PALM BEACH,12,12,2.0
211,FL,PASCO,6,6,2.3333333333333335
212,FL,PINELLAS,11,10,2.2
213,FL,POLK,5,5,1.4
214,FL,PUTNAM,1,1,2.0
215,FL,SAINT JOHNS,1,1,2.0
216,FL,SAINT LUCIE,2,2,1.0
217,FL,SANTA ROSA,3,3,4.0
218,FL,SARASOTA,4,4,4.0
219,FL,SEMINOLE,2,1,2.0
220,FL,SUMTER,1,1,2.0
221,FL,TAYLOR,1,1,3.0
222,FL,VOLUSIA,5,5,2.2
223,FL,WALTON,2,2,3.0
224,GA,APPLING,1,1,3.0
225,GA,BALDWIN,1,1,4.0
226,GA,BARROW,1,1,3.0
